ts,open,high,low,close,volume
1995-01-03T00:00:00Z,7.910362001922396,7.910362001922396,7.773976450165113,7.855807781219482,2551000
1995-01-04T00:00:00Z,7.6375885412726605,7.746696949005127,7.528480133540194,7.746696949005127,6746000
1995-01-05T00:00:00Z,7.719421969900886,7.746699079335165,7.583036422729492,7.583036422729492,4363200
1995-01-06T00:00:00Z,7.610313532163771,7.664867751032329,7.583036422729492,7.583036422729492,2682600
1995-01-09T00:00:00Z,7.583038682151439,7.664870034836526,7.583038682151439,7.610315799713135,3072200
1995-01-10T00:00:00Z,7.610311357871346,7.637588459512462,7.528480052947998,7.528480052947998,3744000
1995-01-11T00:00:00Z,7.583037625340855,7.6103147391010735,7.392097829019322,7.419374942779541,5871800
1995-01-12T00:00:00Z,7.419374106994854,7.473928328369817,7.392096996307373,7.392096996307373,3480400
1995-01-13T00:00:00Z,7.473928928375244,7.528483154129808,7.392097589743399,7.473928928375244,3749000
1995-01-16T00:00:00Z,7.501204263432362,7.555758476257324,7.47392715701988,7.555758476257324,2901400
1995-01-17T00:00:00Z,7.555756618119643,7.692142116641659,7.52847951841524,7.664865016937256,3737000
1995-01-18T00:00:00Z,7.637589795494768,7.664866901907249,7.555758476257324,7.555758476257324,2340800
1995-01-19T00:00:00Z,7.555757154589115,7.610311357871346,7.446648748024651,7.528480052947998,2090400
1995-01-20T00:00:00Z,7.528483990755948,7.555761106664484,7.4466526430303395,7.501206874847412,4870600
1995-01-23T00:00:00Z,7.473927984992377,7.583036422729492,7.446650875558099,7.583036422729492,2160800
1995-01-24T00:00:00Z,7.610310924053192,7.692142224311828,7.5557567238807675,7.637588024139404,4543800
1995-01-25T00:00:00Z,7.692142745138894,7.773974050938244,7.6375885412726605,7.746696949005127,3314600
1995-01-26T00:00:00Z,7.801254871435333,7.828531986370422,7.773977756500245,7.773977756500244,2725400
1995-01-27T00:00:00Z,7.883084067773983,8.019469605278724,7.883084067773983,7.937638282775879,3946600
1995-01-30T00:00:00Z,7.910361175274931,8.04674671277967,7.855806960273035,7.937638282775879,4864200
1995-01-31T00:00:00Z,7.964913992154396,8.074022403005825,7.937636889441539,8.046745300292969,4432000
1995-02-01T00:00:00Z,8.128582129173408,8.210413492889918,8.046750765456897,8.10130500793457,6117400
1995-02-02T00:00:00Z,8.01947277470639,8.292243957519531,8.01947277470639,8.292243957519531,4864000
1995-02-03T00:00:00Z,8.292245895532933,8.565017142096517,8.292245895532933,8.483185768127441,9578000
1995-02-06T00:00:00Z,8.455908908041549,8.592294535590607,8.374077531512114,8.428631782531738,3706000
1995-02-07T00:00:00Z,8.31951352235901,8.346790615874943,8.210405148295285,8.264959335327148,6385800
1995-02-08T00:00:00Z,8.183130813857256,8.210407916570114,8.046745300292969,8.046745300292969,5335800
1995-02-09T00:00:00Z,8.046745300292969,8.101299505718684,7.910359786728681,8.046745300292969,3764000
1995-02-10T00:00:00Z,8.0740256245931,8.21041119257609,8.019471397399903,8.183134078979492,2310800
1995-02-13T00:00:00Z,8.155854563455325,8.210408774582115,8.074023246765137,8.074023246765137,1352800
1995-02-14T00:00:00Z,8.319523280492492,8.510463159061173,8.26496902947287,8.428631782531738,9588600
1995-02-15T00:00:00Z,8.4286234107002,8.455900509116704,8.292237918617671,8.374069213867188,4079000
1995-02-16T00:00:00Z,8.346800406002304,8.428631782531738,8.319523280492492,8.428631782531738,2337200
1995-02-17T00:00:00Z,8.428631782531738,8.510463159061173,8.346800406002304,8.428631782531738,3439400
1995-02-21T00:00:00Z,8.455901879530686,8.510456085205078,8.401347673856295,8.510456085205078,2981000
