ts,open,high,low,close,volume
1995-01-03T00:00:00Z,8.602276049622148,8.646165737325422,8.587646776389054,8.631535530090332,4886494
1995-01-04T00:00:00Z,8.646165299534015,8.733942802492031,8.573016135066405,8.704684257507324,8345825
1995-01-05T00:00:00Z,8.70467819096476,8.807085829046224,8.631529077476888,8.660788536071777,9501446
1995-01-06T00:00:00Z,8.690055575198267,8.865612479909855,8.675425366137912,8.792463302612305,12721452
1995-01-09T00:00:00Z,8.777827700226778,8.88023535382224,8.76319750171232,8.836346626281738,7167192
1995-01-10T00:00:00Z,8.894864626796746,9.04116192671143,8.850974969821669,8.968012809753418,14312627
1995-01-11T00:00:00Z,9.011905779994926,9.02653504836424,8.807089484812765,8.894867897033691,10252055
1995-01-12T00:00:00Z,8.880237694662695,8.938756636143312,8.836348955553074,8.894867897033691,9522366
1995-01-13T00:00:00Z,8.982645659008877,8.997274926319191,8.86560778451991,8.938755989074707,8494775
1995-01-16T00:00:00Z,8.938759763198462,9.12894592254264,8.938759763198462,9.070427894592285,11363744
1995-01-17T00:00:00Z,9.041168413616104,9.12894592254264,9.026538206127007,9.070427894592285,6678919
1995-01-18T00:00:00Z,9.085055049771986,9.114314523925914,8.968017153156278,9.041166305541992,7709438
1995-01-19T00:00:00Z,9.02653643519974,9.085055385671199,8.93875800949255,8.953388214111328,7170958
1995-01-20T00:00:00Z,8.938759957082967,8.953390164889395,8.77783327522442,8.821722030639648,13946946
1995-01-23T00:00:00Z,8.719314375316946,8.719314375316946,8.470609246819972,8.690054893493652,20558921
1995-01-24T00:00:00Z,8.675417798368574,8.763196174153244,8.602269618881998,8.660788536071777,13290894
1995-01-25T00:00:00Z,8.426719024281763,8.558387151162526,8.426719024281763,8.470608711242676,15932672
1995-01-26T00:00:00Z,8.470608711242676,8.587646631135808,8.455978504255045,8.470608711242676,9024051
1995-01-27T00:00:00Z,8.514496598580667,8.558386281079565,8.265791511093198,8.485237121582031,11368346
1995-01-30T00:00:00Z,8.5144950288934,8.543754500497915,8.368197670870824,8.39745807647705,5935004
1995-01-31T00:00:00Z,8.42671691886012,8.529125540180727,8.221901544222394,8.441347122192383,11474202
1995-02-01T00:00:00Z,8.470610640242771,8.646167560061796,8.455980429923423,8.616908073425293,13773728
1995-02-02T00:00:00Z,8.61690582054736,8.704684257507324,8.60227561405306,8.704684257507324,6102782
1995-02-03T00:00:00Z,8.763201508265322,8.80709118987371,8.719312760658799,8.733942031860352,10722755
1995-02-06T00:00:00Z,8.733942031860352,8.792656743855115,8.704583270151065,8.733942031860352,5657186
1995-02-07T00:00:00Z,8.719263076782227,8.73394245835369,8.675226806350471,8.719263076782227,6069729
1995-02-08T00:00:00Z,8.704583695210763,8.792657173215593,8.704583695210763,8.719263076782227,6260938
1995-02-09T00:00:00Z,8.719260494308823,8.836691763534429,8.719260494308823,8.807333946228027,8259216
1995-02-10T00:00:00Z,8.822012386310709,8.895407398147233,8.807333946228027,8.807333946228027,6439176
1995-02-13T00:00:00Z,8.822015680441433,8.851373508710015,8.777979406609255,8.792657852172852,5112011
1995-02-14T00:00:00Z,8.807336532717828,8.880730628967285,8.763299325255105,8.880730628967285,7097738
1995-02-15T00:00:00Z,8.880730628967285,8.91008845489533,8.822014977111195,8.880730628967285,6806113
1995-02-16T00:00:00Z,8.910089858496212,8.95412707289609,8.866053581237793,8.866053581237793,7122842
1995-02-17T00:00:00Z,8.895407398147233,8.895407398147233,8.777976128921626,8.807333946228027,12208912
1995-02-21T00:00:00Z,8.807336554787055,8.822014999217203,8.704583695210763,8.719263076782227,6514488
1995-02-22T00:00:00Z,8.719263076782227,8.748620902783836,8.704583695210763,8.719263076782227,7179744
1995-02-23T00:00:00Z,8.777978728785445,8.895410032791883,8.704583695210763,8.719263076782227,9232414
1995-02-24T00:00:00Z,8.719263750072091,8.851373508710015,8.719263750072091,8.792657852172852,6542102
1995-02-27T00:00:00Z,8.76329926234858,8.851372739500489,8.660547340908673,8.689905166625977,8590589
1995-02-28T00:00:00Z,8.689905581807501,8.836694717407227,8.689905581807501,8.836694717407227,7529108
1995-03-01T00:00:00Z,8.822014893162354,8.96880402140576,8.822014893162354,8.851372718811035,8579292
1995-03-02T00:00:00Z,8.851367296875729,9.086229758199375,8.851367296875729,9.071551322937012,10086787
1995-03-03T00:00:00Z,9.056877125436253,9.394491637924208,9.042198681786948,9.379813194274902,23279776
1995-03-06T00:00:00Z,9.335776580608842,9.541281364709857,9.335776580608842,9.423850059509277,21101167
1995-03-07T00:00:00Z,9.438526388758502,9.497242022369832,9.321095121535842,9.365131378173828,14437310
1995-03-08T00:00:00Z,9.365131378173828,9.394489194979492,9.218342294145504,9.365131378173828,12691327
1995-03-09T00:00:00Z,9.438530984459206,9.555962308860172,9.438530984459206,9.467887878417969,13089226
1995-03-10T00:00:00Z,9.497244902813469,9.585317442801186,9.438529251394119,9.526601791381836,9929050
1995-03-13T00:00:00Z,9.570637878705066,9.746784812353052,9.570637878705066,9.629353523254395,14607181
1995-03-14T00:00:00Z,9.658714055499848,9.717429716523185,9.570640563964844,9.570640563964844,9484710
1995-03-15T00:00:00Z,9.541280916927757,9.658712216617165,9.541280916927757,9.599996566772461,7410701
1995-03-16T00:00:00Z,9.600000885653778,9.820184203057604,9.585321498017947,9.805505752563477,11906409
1995-03-17T00:00:00Z,9.805499224918222,9.820177665640726,9.702746391296387,9.702746391296387,12415602
1995-03-20T00:00:00Z,9.717432238173606,9.86422142882339,9.688074400043648,9.805505752563477,7707765
1995-03-21T00:00:00Z,9.805500546119555,9.86421619120312,9.64403205356915,9.658711433410645,8321976
1995-03-22T00:00:00Z,9.64403422366438,9.702749881960111,9.541282290217564,9.585318565368652,10239085
1995-03-23T00:00:00Z,9.570636012534765,9.79081916809082,9.570636012534765,9.79081916809082,11564994
1995-03-24T00:00:00Z,9.820176124572754,9.908249566509753,9.80549768615372,9.820176124572754,10792628
1995-03-27T00:00:00Z,9.849531175000402,9.996320203709782,9.849531175000402,9.98164176940918,8487244
1995-03-28T00:00:00Z,9.96696601983865,9.96696601983865,9.893571010242797,9.922929763793945,5660952
1995-03-29T00:00:00Z,9.89357140733195,9.952287042508843,9.688067621353868,9.746783256530762,12432338
1995-03-30T00:00:00Z,9.761462915105602,9.790820736358267,9.599995366786523,9.67339038848877,12372506
1995-03-31T00:00:00Z,9.644035339355469,9.80550388691927,9.555962778864426,9.644035339355469,10953712
1995-04-03T00:00:00Z,9.658716848243067,9.805506043244367,9.658716848243067,9.732110977172852,7924914
1995-04-04T00:00:00Z,9.761461696754461,9.820177331931355,9.688067621353868,9.746783256530762,7048366
1995-04-05T00:00:00Z,9.732110830791033,9.87890002358446,9.732110830791033,9.864221572875977,8402727
1995-04-06T00:00:00Z,9.908251581979174,9.937609401929942,9.820178122126869,9.849535942077637,6219516
1995-04-07T00:00:00Z,9.834862797175575,9.996331377819203,9.805505895758605,9.864221572875977,10160007
1995-04-10T00:00:00Z,9.86421186973299,10.09907341003418,9.86421186973299,10.09907341003418,8851670
1995-04-11T00:00:00Z,10.084398104317593,10.201828442352312,10.055040285523642,10.187150001525879,10798904
1995-04-12T00:00:00Z,10.15780037507996,10.289911134771678,10.113764079943948,10.231195449829102,7962989
1995-04-13T00:00:00Z,10.201831653383133,10.260547309451812,10.113759106421494,10.143115997314453,5779778
1995-04-17T00:00:00Z,10.21651057961788,10.392657539955753,10.201831197685722,10.319262504577637,9161286
1995-04-18T00:00:00Z,10.348617131395926,10.392654326434286,10.231186797956084,10.363296508789062,8237459
